"id","raw_name","standard_name","category_group","is_verified","created_at"
195,"morphine","Morphine","Morphine",True,"2026-02-25 08:43:31.514819"
196,"morphine sulphate injection ip 10mg/ml","Morphine","Morphine",True,"2026-02-25 08:43:31.514819"
417,"rumorf-30","Morphine","Opioids",True,"2026-02-26 06:10:24.019394"
