"primary_drug_name"
"Acetic Acid"
"Adulterated Toddy"
"Alprazolam"
"Ammonia Solution"
"Ammonium Chloride"
"Amphetamine"
"Baking Powder"
"Bang Chocolates"
"Barbiturates"
"Beedis"
"Beer"
"Black colour Polythene cover"
"BZO"
"Cannabis"
"Charas"
"Charminar Gold Munakka"
"CHARMS cigarettes"
"Chlordiazepoxide"
"Cigarette Tobacco"
"Citric Acid"
"Clonazepam"
"Cocaine"
"Coconut Powder"
"Codeine Syrup"
"Diazepam"
"Drug consuming pipes"
"Drum"
"Ecstasy"
"EOC chemical"
"Etizolam"
"Fentanyl"
"Ganga Chocolates"
"Ganja"
"Ganja Chocolates"
"Ground nut"
"Harish Oil"
"Hashish"
"Hashish Oil"
"Hashish/Weed Oil"
"Heroin"
"Hexamethylenetetramine"
"Hukkah Flavours"
"Isopropyl Alcohol (IPA)"
"Jaggery"
"Ketamine"
"LSD"
"MDM"
"MDMA"
"Mephedrone"
"Mephentermine"
"Methamphetamine"
"Methaqualone"
"Mond Cigareettes"
"Morphine"
"Morphine Sulphate Injection IP-15mg/ml"
"morphine Sulphite Injection IP 10mg/ml"
"morphine Sulphite Injection IP 15mg/ml"
"narcotics"
"Nitrazepam"
"NO_DRUGS_DETECTED"
"Nordiazepam"
"OCD"
"Opium"
"Other Tablets"
"Pentazocine"
"Petroleum Ether"
"Phosphorus Pentasulfide (P2S5)"
"Pipers Cigar"
"Poppy Straw/Derivatives"
"Pyridine"
"Rumrof –CR 30"
"Saccharin / Saccharine"
"Sachirine"
"Safety Matches"
"Sodium Hydroxide"
"Spasmo-Proxylon Plus"
"Spasmo Proxyvon"
"Sugar"
"Tambaku"
"Tapentadol"
"toddy"
"Toddy (Adulterated/Spurious)"
"Tramado Hydrochloride Acetaminophen Tablets USP"
"Tramadol"
"Weed Oil"
"Yeast"
"Zolpidem"
